id,quality
1,failure
2,unknown
3,unknown
4,unknown
5,unknown
6,unknown
7,unknown
8,failure
9,unknown
10,unknown
11,unknown
12,unknown
13,unknown
14,unknown
15,failure
16,other
17,unknown
18,unknown
19,unknown
20,unknown
21,unknown
22,unknown
23,unknown
24,unknown
25,unknown
26,unknown
27,success
28,unknown
29,unknown
30,unknown
31,unknown
32,unknown
33,unknown
34,unknown
35,unknown
36,unknown
37,unknown
38,unknown
39,unknown
40,failure
41,other
42,unknown
43,unknown
44,unknown
45,failure
46,unknown
47,unknown
48,unknown
49,unknown
50,unknown
51,failure
52,unknown
53,unknown
54,unknown
55,unknown
56,failure
57,success
58,unknown
59,unknown
60,other
61,unknown
62,unknown
63,unknown
64,unknown
65,success
66,other
67,unknown
68,unknown
69,failure
70,unknown
71,failure
72,unknown
73,unknown
74,unknown
75,unknown
76,unknown
77,unknown
78,unknown
79,unknown
80,unknown
81,unknown
82,unknown
83,unknown
84,unknown
85,unknown
86,unknown
87,unknown
88,unknown
89,unknown
90,unknown
91,failure
92,unknown
93,unknown
94,unknown
95,unknown
96,unknown
97,unknown
98,failure
99,unknown
100,unknown
101,unknown
102,unknown
103,unknown
104,unknown
105,unknown
106,unknown
107,failure
108,unknown
109,unknown
110,unknown
111,unknown
112,unknown
113,unknown
114,unknown
115,unknown
116,unknown
117,unknown
118,unknown
119,unknown
120,unknown
121,unknown
122,unknown
123,unknown
124,failure
125,unknown
126,unknown
127,unknown
128,unknown
129,unknown
130,unknown
131,unknown
132,unknown
133,unknown
134,unknown
135,unknown
136,unknown
137,unknown
138,unknown
139,unknown
140,unknown
141,unknown
142,unknown
143,unknown
144,unknown
145,unknown
146,unknown
147,failure
148,unknown
149,unknown
150,unknown
151,unknown
152,failure
153,unknown
154,unknown
155,unknown
156,failure
157,unknown
158,unknown
159,unknown
160,other
161,unknown
162,unknown
163,unknown
164,unknown
165,unknown
166,unknown
167,unknown
168,unknown
169,other
170,unknown
171,unknown
172,unknown
173,unknown
174,failure
175,unknown
176,failure
177,unknown
178,unknown
179,unknown
180,unknown
181,unknown
182,unknown
183,failure
184,unknown
185,unknown
186,unknown
187,unknown
188,unknown
189,success
190,success
191,unknown
192,unknown
193,unknown
194,unknown
195,unknown
196,unknown
197,unknown
198,unknown
199,unknown
200,unknown
201,failure
202,unknown
203,other
204,unknown
205,unknown
206,unknown
207,unknown
208,unknown
209,failure
210,unknown
211,unknown
212,unknown
213,failure
214,unknown
215,unknown
216,unknown
217,unknown
218,failure
219,unknown
220,unknown
221,unknown
222,unknown
223,unknown
224,unknown
225,unknown
226,unknown
227,unknown
228,unknown
229,unknown
230,unknown
231,unknown
232,unknown
233,unknown
234,failure
235,unknown
236,unknown
237,unknown
238,unknown
239,unknown
240,unknown
241,unknown
242,unknown
243,success
244,unknown
245,unknown
246,unknown
247,unknown
248,unknown
249,unknown
250,failure
251,unknown
252,unknown
253,unknown
254,success
255,unknown
256,unknown
257,unknown
258,unknown
259,unknown
260,unknown
261,unknown
262,unknown
263,unknown
264,unknown
265,unknown
266,unknown
267,unknown
268,unknown
269,unknown
270,unknown
271,unknown
272,unknown
273,unknown
274,other
275,unknown
276,unknown
277,failure
278,unknown
279,unknown
280,failure
281,unknown
282,unknown
283,unknown
284,other
285,unknown
286,unknown
287,unknown
288,unknown
289,failure
290,unknown
291,unknown
292,unknown
293,unknown
294,unknown
295,failure
296,unknown
297,unknown
298,failure
299,unknown
300,unknown
301,other
302,success
303,unknown
304,unknown
305,unknown
306,unknown
307,unknown
308,unknown
309,unknown
310,unknown
311,unknown
312,unknown
313,unknown
314,unknown
315,unknown
316,unknown
317,unknown
318,unknown
319,unknown
320,failure
321,unknown
322,unknown
323,unknown
324,other
325,unknown
326,unknown
327,unknown
328,unknown
329,unknown
330,unknown
331,unknown
332,unknown
333,unknown
334,failure
335,unknown
336,unknown
337,unknown
338,unknown
339,unknown
340,unknown
341,unknown
342,unknown
343,other
344,unknown
345,unknown
346,unknown
347,unknown
348,unknown
349,unknown
350,unknown
351,unknown
352,unknown
353,unknown
354,unknown
355,unknown
356,unknown
357,unknown
358,unknown
359,failure
360,unknown
361,unknown
362,unknown
363,unknown
364,unknown
365,unknown
366,failure
367,unknown
368,unknown
369,success
370,unknown
371,unknown
372,unknown
373,unknown
374,unknown
375,unknown
376,unknown
377,unknown
378,failure
379,unknown
380,failure
381,unknown
382,unknown
383,unknown
384,unknown
385,unknown
386,unknown
387,unknown
388,unknown
389,unknown
390,unknown
391,unknown
392,unknown
393,unknown
394,unknown
395,unknown
396,unknown
397,unknown
398,unknown
399,unknown
400,unknown
401,unknown
402,unknown
403,unknown
404,unknown
405,success
406,unknown
407,unknown
408,unknown
409,unknown
410,unknown
411,unknown
412,unknown
413,unknown
414,other
415,unknown
416,unknown
417,unknown
418,unknown
419,unknown
420,unknown
421,unknown
422,failure
423,unknown
424,failure
425,unknown
426,unknown
427,failure
428,unknown
429,unknown
430,unknown
431,unknown
432,unknown
433,unknown
434,success
435,failure
436,success
437,unknown
438,unknown
439,unknown
440,unknown
441,unknown
442,unknown
443,unknown
444,unknown
445,unknown
446,unknown
447,unknown
448,unknown
449,unknown
450,failure
451,unknown
452,other
453,unknown
454,unknown
455,unknown
456,unknown
457,unknown
458,unknown
459,unknown
460,unknown
461,unknown
462,unknown
463,unknown
